,trees,weeds,grass
2019-06-01,2,1,4
2019-06-02,1,0,4
2019-06-03,1,0,4
2019-06-04,1,1,4
2019-06-05,1,1,3
2019-06-06,1,1,3
2019-06-07,1,0,2
2019-06-08,1,1,2
2019-06-09,1,0,4
2019-06-10,1,1,4
2019-06-11,2,2,4
2019-06-12,2,2,4
2019-06-13,2,1,3
2019-06-14,1,0,3
2019-06-15,1,2,4
2019-06-16,2,2,4
2019-06-17,1,1,3
2019-06-18,2,1,3
2019-06-19,1,1,3
2019-06-20,1,1,3
2019-06-21,1,1,3
2019-06-22,1,1,3
2019-06-23,1,2,3
2019-06-24,2,1,3
2019-06-25,1,2,3
2019-06-26,2,1,3
2019-06-27,2,2,3
2019-06-28,1,0,1
2019-06-29,1,1,3
2019-06-30,1,1,3
